model_name,Train Score,Test Score,CV Score,CV Score Std
RF_10_full,0.9986407211332092,0.6177396280400572,0.6220484924796732,0.0039124128230847
RF_10_filtered_PIE_BPM,0.999845619451949,0.6208706390861377,0.6159011964492475,0.0045561882094553
RF_10_filtered_PTS_BPM_PIE,0.9992032507369932,0.6121733588272785,0.6240944307199716,0.0072138968308134
Log_10_full,0.6293522428491753,0.6169534735500318,0.6246521996442743,0.0080981765931556
Log_10_filtered_PIE_BPM,0.631339251254342,0.6140784192652053,0.6264762639907372,0.0047041756804917
Log_10_filtered_PTS_PIE_BPM,0.6293522428491753,0.6169534735500318,0.6246521996442743,0.0080981765931556
Log_10_filtered_FTr,0.6246306146572104,0.62322695035461,0.6224883896937695,0.0093279873007567
KNN_10_full,1.0,0.5899856938483548,0.6006587739704817,0.0083875858772931
KNN_10_filtered_PIE_BPM,1.0,0.592158073479469,0.587263604785797,0.0046224021371145
KNN_10_filtered_PTS_PIE_BPM,1.0,0.5863607393244105,0.5969251151507073,0.0089122063453678
GNB_10_full,0.6011589640864216,0.6,0.5978679483340628,0.005243510177582
GNB_10_filtered_PIE_BPM,0.6055576997298341,0.607286199444273,0.6030104206869934,0.0024360839580176
GNB_10_filtered_PTS_PIE_BPM,0.6075213130427854,0.5920968769917144,0.6061676670458748,0.0057458648131579
SVC_10_full,0.6248390327657748,0.6203147353361945,0.6180423605406139,0.0044066433732522
SVC_10_filtered_PIE_BPM,0.6297954457738325,0.6097560975609756,0.6246236974141258,0.0054450612392275
SVC_10_filtered_PTS_PIE_BPM,0.6268823201338539,0.6169534735500318,0.6225803278324378,0.0082116772602884
RF_20_full,0.9987122621261983,0.6246065808297568,0.6279149871654113,0.0042255580134483
RF_20_filtered_PIE_BPM,0.9986121819583654,0.625963613937712,0.625366229760987,0.0061507079954291
RF_20_filtered_PTS_BPM_PIE,0.9987280387948168,0.6333863275039746,0.6258847550626289,0.0067324595617075
Log_20_full,0.6383655298513395,0.6352941176470588,0.6362988049445775,0.0043359175874055
Log_20_filtered_PIE_BPM,0.6397070161912105,0.6308973172987974,0.6332305319969158,0.0035883041721573
Log_20_filtered_PTS_PIE_BPM,0.6383655298513395,0.6352941176470588,0.6362988049445775,0.0043359175874055
Log_20_filtered_FTr,0.639196054991034,0.6360920227069017,0.6369541680695823,0.0062179892708432
KNN_10_full,1.0,0.6025751072961374,0.6085280275169486,0.0054726549953524
KNN_20_full,1.0,0.6025751072961374,0.6085280275169486,0.0054726549953524
KNN_20_filtered_PIE_BPM,1.0,0.6000616712920136,0.6083269082498073,0.0049728652263984
KNN_20_filtered_PTS_PIE_BPM,1.0,0.6092209856915739,0.602512461005035,0.0102993682833907
GNB_20_full,0.6048075547288596,0.5968526466380544,0.6003708338771718,0.0082405070006157
GNB_20_filtered_PIE_BPM,0.6087895142636854,0.6074622263336417,0.6041634541249036,0.0114732923594376
GNB_20_filtered_PTS_PIE_BPM,0.6083949439542093,0.611764705882353,0.6052935803304181,0.0104350826258617
SVC_20_full,0.6371440835598798,0.6297567954220314,0.6302755021868706,0.0048089295092063
SVC_20_filtered_PIE_BPM,0.6394757131842714,0.6321307431390688,0.6324595219737856,0.0049584996733426
SVC_20_filtered_PTS_PIE_BPM,0.63415215835917,0.6406995230524642,0.6318473894312977,0.0049375727675686
RF_30_full,0.9974245242523966,0.6363376251788269,0.6349260251675661,0.0028760635782148
RF_30_filtered_PIE_BPM,0.998146145527576,0.633920296570899,0.6325506933849924,0.0080181044868241
RF_30_filtered_PTS_BPM_PIE,0.9991285057835524,0.6191381495564005,0.6356359699361378,0.0074399482445731
Log_30_full,0.6395764773215052,0.6426323319027182,0.6365709254979641,0.009207637346828
Log_30_filtered_PIE_BPM,0.6414336474586745,0.6391720729070126,0.6368760616269306,0.0079821538671092
Log_30_filtered_PTS_PIE_BPM,0.6440342259546823,0.6299112801013942,0.6410235207355919,0.0008435956049258
Log_30_filtered_FTr,0.6416215403128761,0.631468110709988,0.6389148783956883,0.0116844783273601
KNN_30_full,1.0,0.6094420600858369,0.6162545010633641,0.0094881997475921
KNN_30_filtered_PIE_BPM,1.0,0.6147667593450726,0.6123897809413452,0.0080110563270327
KNN_30_filtered_PTS_PIE_BPM,1.0,0.6074144486692015,0.6127381964820888,0.0104991152905554
GNB_30_full,0.6051652596938045,0.6080114449213162,0.6034489597968987,0.007783543687061
GNB_30_filtered_PIE_BPM,0.607600803336938,0.6212542477602718,0.6047429651137646,0.0088687416036998
GNB_30_filtered_PTS_PIE_BPM,0.6116304864522263,0.6096324461343473,0.6101244920054605,0.0128098537960919
SVC_30_full,0.6286307053941909,0.6366237482117311,0.6265555444655154,0.0054378073897653
SVC_30_filtered_PIE_BPM,0.6298470570060251,0.629286376274328,0.626602420994078,0.0061711457477052
SVC_30_filtered_PTS_PIE_BPM,0.6326255743939154,0.6172370088719898,0.6276348401876637,0.0051365503186504
PCA_Log_20_filtered_PTS_PIE_BPM,0.637491056522776,0.6352941176470588,0.6347877757303555,0.0050374898156629
PCA_Log_20_filtered_PIE_BPM,0.6387047031611411,0.6345975948196114,0.6323824209714727,0.0029821248428394
PCA_Log_20_full,0.6366432966089569,0.6349070100143062,0.6321355322323482,0.0044585575534278
PCA_Log_20_filtered_FTr,0.6390466228332337,0.6405736480430236,0.6351612278206702,0.0083081145481375
PCA_Log_30_full,0.6410072971812849,0.6397711015736767,0.6370002380093208,0.0089151980557819
PCA_Log_30_filtered_PIE_BPM,0.6401977444770586,0.6394810009267841,0.6367216512987082,0.0072547273654298
